name,price,url,image,description,dimensions,material,color,category,brand
Beatrice II,£559.20,https://www.dunelm.com/product/beatrice-ii-matte-velvet-3-seater-sofa-1000266112?defaultSkuId=30970505,https://images.dunelm.com/30970505.jpg?$v8srpgrid$&img404=noimagedefault,Matte Velvet 3 Seater Sofa,3 seater,velvet fabric,matte velvet,sofa,Dunelm
Esme Chair,£299,https://www.dunelm.com/product/esme-woven-folkstone-stripe-occasional-chair-1000248718?defaultSkuId=30915926,https://images.dunelm.com/30915926.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,N/A,Folkstone Stripe,chair,Dunelm
Salcombe Table,£629,https://www.dunelm.com/product/salcombe-4-6-seater-extendable-dining-table-1000246486?defaultSkuId=30919036,https://images.dunelm.com/30919036.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,N/A,N/A,table,Dunelm
Nixon TV Unit,£99,https://www.dunelm.com/product/nixon-tv-unit-1000231255?defaultSkuId=30912619,https://images.dunelm.com/30912619.jpg?$v8srpgrid$&img404=noimagedefault,TV unit for TVs up to 55 inches,N/A,N/A,N/A,TV unit,Dunelm
Beatrice II,£479.20 - £599,https://www.dunelm.com/product/beatrice-ii-blended-chenille-2-seater-sofa-1000266105?defaultSkuId=30970510,https://images.dunelm.com/30970510.jpg?$v8srpgrid$&img404=noimagedefault,20% Off Selected,2 seater,blended chenille fabric,N/A,sofa,Dunelm
Alden,£449,https://www.dunelm.com/product/alden-round-4-seater-dining-table-marble-effect-glass-1000210202?defaultSkuId=30816914,https://images.dunelm.com/30816914.jpg?$v8srpgrid$&img404=noimagedefault,"4 Seater Round Glass Top Dining Table, Marble Effect",N/A,glass,marble effect,table,Dunelm
Elsie Chest,£223.20,https://www.dunelm.com/product/elsie-tall-5-drawer-chest-1000269464?defaultSkuId=30971800,https://images.dunelm.com/30971800.jpg?$v8srpgrid$&img404=noimagedefault,Tall 5 drawer chest with 20% off,N/A,N/A,N/A,chest,Dunelm
Elsie Chest,£199.20,https://www.dunelm.com/product/elsie-3-drawer-chest-1000269463?defaultSkuId=30971810,https://images.dunelm.com/30971810.jpg?$v8srpgrid$&img404=noimagedefault,3 drawer chest with 20% off,N/A,N/A,N/A,chest,Dunelm
Logan Console,£375.20,https://www.dunelm.com/product/indus-valley-logan-console-table-1000260156?defaultSkuId=30985746,https://images.dunelm.com/30985746.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,table,Dunelm
Hector Sofa,£949,https://www.dunelm.com/product/hector-tonal-plush-chenille-2-seater-sofa-1000255180?defaultSkuId=30934927,https://images.dunelm.com/30934927.jpg?$v8srpgrid$&img404=noimagedefault,N/A,2 seater,chenille fabric,tonal plush,sofa,Dunelm
Beatrice Sofa,£599,https://www.dunelm.com/product/beatrice-woven-stripe-2-seater-sofa-1000236719?defaultSkuId=30900755,https://images.dunelm.com/30900755.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,2 Seater,N/A,Woven Stripe,sofa,Dunelm
Magnus Sofa,"£1,399",https://www.dunelm.com/product/magnus-soft-textured-chenille-corner-chaise-sofa-1000242145?defaultSkuId=30909948,https://images.dunelm.com/30909948.jpg?$v8srpgrid$&img404=noimagedefault,Conscious Choice,N/A,chenille fabric,soft textured,sofa,Dunelm
Legato Chest,£279,https://www.dunelm.com/product/legato-3-drawer-chest-1000111196?defaultSkuId=30693633,https://images.dunelm.com/30693633.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,chest,Dunelm
LED Single Mirror Cabinet,£409,https://www.dunelm.com/product/led-single-mirror-cabinet-1000242959?defaultSkuId=30913353,https://images.dunelm.com/30913353.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,cabinet,Dunelm
Ellis,£359.20 - £449,https://www.dunelm.com/product/elements-ellis-4-seater-round-dining-table-1000268256?defaultSkuId=30972870,https://images.dunelm.com/30972870.jpg?$v8srpgrid$&img404=noimagedefault,4 Seater Round Dining Table,N/A,N/A,N/A,table,Dunelm
Ascot Ottoman,£259 - £299,https://www.dunelm.com/product/ascot-grey-upholstered-ottoman-bedstead-1000097049?defaultSkuId=30311211,https://images.dunelm.com/30311211.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,fabric,grey,bed,Dunelm
Desser Beijijng,£99,https://www.dunelm.com/product/desser-beijijng-rattan-side-table-1000271675?defaultSkuId=31011747,https://images.dunelm.com/31011747.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,rattan,N/A,side table,Dunelm
Curve Chest,£429,https://www.dunelm.com/product/curve-3-drawer-chest-of-drawers-1000169302?defaultSkuId=30705733,https://images.dunelm.com/30705733_alt01.jpg?$v8srpgrid$&img404=noimagedefault,3 drawer chest in oak with quick delivery,N/A,oak wood,oak,chest of drawers,Dunelm
Alara Ottoman,£169,https://www.dunelm.com/product/alara-velvet-ottoman-box-1000229955?defaultSkuId=30864177,https://images.dunelm.com/30864177.jpg?$v8srpgrid$&img404=noimagedefault,End of bed storage ottoman with velvet finish,N/A,fabric,velvet,ottoman,Dunelm
Moana Activity Table,£69,https://www.dunelm.com/product/kids-disney-moana-activity-table-and-chair-1000266757?defaultSkuId=30994325,https://images.dunelm.com/30994325.jpg?$v8srpgrid$&img404=noimagedefault,Kids' Disney Moana Activity Table and Chair,N/A,N/A,N/A,table,Dunelm
Kempton Shoe Bench,£79,https://www.dunelm.com/product/kempton-shoe-bench-1000098340?defaultSkuId=30389174,https://images.dunelm.com/30389174.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,bench,Dunelm
Shea Chairs,£119,https://www.dunelm.com/product/shea-set-of-2-dining-chairs-faux-leather-1000258366?defaultSkuId=30990557,https://images.dunelm.com/30990557.jpg?$v8srpgrid$&img404=noimagedefault,Set of 2 dining chairs with faux leather upholstery,N/A,faux leather,N/A,chair,Dunelm
Logan Bar Stool,£143.20,https://www.dunelm.com/product/indus-valley-logan-bar-stool-faux-leather-1000260163?defaultSkuId=30985774,https://images.dunelm.com/30985774.jpg?$v8srpgrid$&img404=noimagedefault,"Indus Valley Logan Bar Stool, Faux Leather",N/A,faux leather,N/A,bar stool,Dunelm
Osaka,£649,https://www.dunelm.com/product/osaka-4-6-seater-extendable-dining-table-marble-effect-1000262337?defaultSkuId=30987559,https://images.dunelm.com/30987559.jpg?$v8srpgrid$&img404=noimagedefault,"4-6 Seater Extendable Dining Table, Marble Effect",4-6 seater,N/A,marble effect,table,Dunelm
Georgi Display Cabinet,£399,https://www.dunelm.com/product/georgi-display-cabinet-1000251719?defaultSkuId=30927487,https://images.dunelm.com/30927487.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,cabinet,Dunelm
Fulton Wardrobe,£279,https://www.dunelm.com/product/fulton-gents-wardrobe-1000157780?defaultSkuId=30666236,https://images.dunelm.com/30666236.jpg?$v8srpgrid$&img404=noimagedefault,Conscious Choice,N/A,N/A,N/A,wardrobe,Dunelm
Lancaster Stand,£103.20,https://www.dunelm.com/product/lancaster-corner-tv-stand-1000169390?defaultSkuId=30705700,https://images.dunelm.com/30705700.jpg?$v8srpgrid$&img404=noimagedefault,"Corner TV Stand for TV's up to 42""",N/A,N/A,N/A,tv stand,Dunelm
Somerset Bedstead,£119.20,https://www.dunelm.com/product/somerset-natural-bedstead-1000088662?defaultSkuId=30281400,https://images.dunelm.com/30281400.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,Natural,bed,Dunelm
Tordoff Chair,£119.20,https://www.dunelm.com/product/tordoff-tonal-boucle-office-chair-1000268882?defaultSkuId=30967998,https://images.dunelm.com/30967998.jpg?$v8srpgrid$&img404=noimagedefault,Office chair with tonal boucle fabric,N/A,fabric,tonal boucle,chair,Dunelm
