name,price,url,image,description,dimensions,material,color,category,brand
Kaspar Chair,£111.30 - £159,https://www.dunelm.com/product/kaspar-soft-texture-tub-chair-1000256386?defaultSkuId=30930119,https://images.dunelm.com/30930119.jpg?$v8srpgrid$&img404=noimagedefault,30% Off Selected,N/A,N/A,N/A,chair,Dunelm
Lynton,£219,https://www.dunelm.com/product/lynton-compact-white-tall-boy-1000146579?defaultSkuId=30646747,https://images.dunelm.com/30646747.jpg?$v8srpgrid$&img404=noimagedefault,"Tall Small 5 Drawer Chest, White",N/A,N/A,White,chest,Dunelm
Bromley II,£279,https://www.dunelm.com/product/bromley-ii-extra-wide-tv-unit-for-tvs-up-to-65-1000266695?defaultSkuId=30973536,https://images.dunelm.com/30973536.jpg?$v8srpgrid$&img404=noimagedefault,Extra Wide TV Unit for TVs up to 65 inches,N/A,N/A,N/A,TV unit,Dunelm
Beatrice Sofa,£999,https://www.dunelm.com/product/beatrice-velvet-left-hand-corner-sofa-1000189987?defaultSkuId=30826054,https://images.dunelm.com/30826054.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,velvet fabric,matte,sofa,Dunelm
Fulton Pine,£239.20,https://www.dunelm.com/product/fulton-pine-swivel-desk-1000229680?defaultSkuId=30857094,https://images.dunelm.com/30857094.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,desk,Dunelm
Fulton Bookcase,£199,https://www.dunelm.com/product/fulton-bookcase-1000117128?defaultSkuId=30569977,https://images.dunelm.com/30569977.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,bookcase,Dunelm
Lynton Bed,£159.20 - £349,https://www.dunelm.com/product/lynton-grey-bed-1000188357?defaultSkuId=30739889,https://images.dunelm.com/30739889.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,grey,bed,Dunelm
Astrid Chair,£69,https://www.dunelm.com/product/astrid-dining-chair-natural-fabric-1000221221?defaultSkuId=30882612,https://images.dunelm.com/30882612.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,fabric,natural,chair,Dunelm
Fulton Shelving Unit,£159.20,https://www.dunelm.com/product/fulton-shelving-unit-1000221013?defaultSkuId=30831757,https://images.dunelm.com/30831757.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,shelving unit,Dunelm
Bryant Low Bookcase,£119.20,https://www.dunelm.com/product/bryant-low-bookcase-1000267327?defaultSkuId=30967450,https://images.dunelm.com/30967450.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,bookcase,Dunelm
Helga Wardrobe,£199,https://www.dunelm.com/product/helga-metal-double-wardrobe-1000268115?defaultSkuId=30967685,https://images.dunelm.com/30967685.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,metal,N/A,wardrobe,Dunelm
Beatrice II,£299,https://www.dunelm.com/product/beatrice-ii-soft-tonal-chenille-armchair-1000266117?defaultSkuId=30970479,https://images.dunelm.com/30970479.jpg?$v8srpgrid$&img404=noimagedefault,Soft tonal chenille armchair with quick delivery,N/A,fabric,tonal,armchair,Dunelm
Beatrice II,£169,https://www.dunelm.com/product/beatrice-ii-soft-tonal-chenille-footstool-1000266128?defaultSkuId=30970498,https://images.dunelm.com/30970498.jpg?$v8srpgrid$&img404=noimagedefault,Soft tonal chenille footstool with quick delivery,N/A,chenille fabric,tonal,footstool,Dunelm
