Cost,Product Name,Category,Sub-Category,Dimensions (W x D x H),Material,Colour/Finish,Product URL,Image URL,Notes
"£2,195","Caleb Armchair, Light Burl, Velvet",Armchair,Armchair,"H79 x W112 x D85cm / H31 x W44 x D33""",velvet,Velvet Royal Blue,https://www.sohohome.com/products/caleb-armchair-light-burl-velvet/78167099,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/276635-78167099-listingjpg.jpg,
"£2,195","Caleb Armchair, Light Burl, Velvet",Armchair,Armchair,"H79 x W112 x D85cm / H31 x W44 x D33""",velvet,Velvet Porcelain,https://www.sohohome.com/products/caleb-armchair-light-burl-velvet/78167112,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/276641-78167112-listingjpg.jpg,
"£2,195","Caleb Armchair, Light Burl, Velvet",Armchair,Armchair,"H79 x W112 x D85cm / H31 x W44 x D33""",velvet,Velvet Mustard,https://www.sohohome.com/products/caleb-armchair-light-burl-velvet/78167136,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/276647-78167136-listingjpg.jpg,
"£2,195","Caleb Armchair, Light Burl, Velvet",Armchair,Armchair,"H79 x W112 x D85cm / H31 x W44 x D33""",velvet,Velvet Olive,https://www.sohohome.com/products/caleb-armchair-light-burl-velvet/78167150,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/276653-78167150-listingjpg.jpg,
"£2,195","Caleb Armchair, Light Burl, Velvet",Armchair,Armchair,"H79 x W112 x D85cm / H31 x W44 x D33""",velvet,Velvet Taupe,https://www.sohohome.com/products/caleb-armchair-light-burl-velvet/78167174,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/276659-78167174-listingjpg.jpg,
"£2,195","Caleb Armchair, Light Burl, Velvet",Armchair,Armchair,"H79 x W112 x D85cm / H31 x W44 x D33""",velvet,Velvet Antique Rose,https://www.sohohome.com/products/caleb-armchair-light-burl-velvet/78167198,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/276665-78167198-listingjpg.jpg,
"£2,195","Caleb Armchair, Light Burl, Velvet",Armchair,Armchair,"H79 x W112 x D85cm / H31 x W44 x D33""",velvet,Velvet Chocolate,https://www.sohohome.com/products/caleb-armchair-light-burl-velvet/78167235,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/276677-78167235-listingjpg.jpg,
"£2,195","Caleb Armchair, Light Burl, Velvet",Armchair,Armchair,"H79 x W112 x D85cm / H31 x W44 x D33""",velvet,Velvet Grey Blue,https://www.sohohome.com/products/caleb-armchair-light-burl-velvet/78167211,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/276671-78167211-listingjpg.jpg,
"£1,895","Vivienne Armchair, Theron",Armchair,Armchair,"H69 x W95 x D89cm / H27 x W38 x D35""",Woven Jacquard,Woven Jacquard,https://www.sohohome.com/products/vivienne-armchair-theron/72729072,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/275613-72729072-listingjpg.jpg,
£995,"Sagrada Chair, Chestnut Leather",Armchair,Armchair,"
H76 x W74 x D76cm / H29.9 x W29.1 x D29.9""",Leather,Chestnut Leather,https://www.sohohome.com/products/sagrada-chair-leather/75786340,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/17721-75786340-shot-1-listing.jpg,
